number,date,height_1,height_2,height_3,width_1,width_2,width_3,temp,humidity,layer_count,slicer_layer_height,slicer_layer_width,slicer_nozzle_speed,slicer_extrusion_multiplier,nozzle_diameter
1,8/12/25,1.55,1.83,1.82,5.49,6.21,5.38,21,44,1,1.5,2,3,0.6,2
2,8/12/25,1.46,1.4,1.6,4.14,4.38,3.92,21,44,1,1.5,2,5,0.6,2
3,8/12/25,1.6,1.6,1.69,2.29,2.63,2.49,21,44,1,1.5,2,10,0.6,2
4,8/12/25,1.53,1.43,1.58,2.53,2.41,2.79,21,44,1,1.5,2,12,0.6,2
5,8/12/25,1.39,1.27,1.32,2.13,2.04,2.47,21,44,1,1.5,2,15,0.6,2
6,8/12/25,1.4,1.42,1.46,1.63,1.6,1.63,21,44,1,1.5,2,18,0.6,2
7,8/12/25,0.82,1.05,0.95,2.36,1.97,1.93,21,44,1,1.5,2,20,0.6,2
8,8/12/25,0.53,0.43,0.61,1.89,1.86,2.19,21,44,1,1.5,2,22,0.6,2
9,8/12/25,1.81,2.03,1.93,6.54,5.85,6.45,21,44,1,1.5,2,3,0.8,2
10,8/12/25,2.1,2.37,1.96,5.74,6.59,6.94,21,44,1,1.5,2,5,0.8,2
11,8/12/25,1.65,1.75,1.49,4.36,4.08,4.63,21,44,1,1.5,2,10,0.8,2
12,8/12/25,1.71,1.57,1.69,2.89,2.38,3.45,21,44,1,1.5,2,12,0.8,2
13,8/12/25,1.77,1.69,1.78,3.1,3.26,3.33,21,44,1,1.5,2,15,0.8,2
14,8/12/25,1.57,1.8,1.75,3.37,3.29,4.02,21,44,1,1.5,2,18,0.8,2
15,8/12/25,1.65,1.67,1.82,3.27,3.52,4.78,21,44,1,1.5,2,20,0.8,2
16,8/12/25,1.68,1.78,1.85,3.36,3.19,3.51,21,44,1,1.5,2,22,0.8,2
17,8/12/25,2.47,2.92,2.81,5.65,4.6,4.24,21,44,2,1.5,2,3,0.4,2
18,8/12/25,1.87,2.43,2.71,3.81,3.81,3.29,21,44,2,1.5,2,5,0.4,2
19,8/12/25,1.92,2.65,2.69,2.93,2.55,2.41,21,44,2,1.5,2,10,0.4,2
20,8/12/25,2.52,2.73,2.72,1.76,1.74,1.86,21,44,2,1.5,2,12,0.4,2
21,8/12/25,2.68,2.41,2.37,6.3,6.5,6.29,21,44,2,1.5,2,3,0.6,2
22,8/12/25,2.57,2.5,2.52,4.78,4.52,4.98,21,44,2,1.5,2,5,0.6,2
23,8/12/25,1.93,2.5,2.65,3.51,4.27,3.82,21,44,2,1.5,2,10,0.6,2
24,8/12/25,2.4,2.61,2.61,2.62,2.97,3.07,21,44,2,1.5,2,12,0.6,2
25,8/12/25,2.59,2.43,2.61,4.13,3.97,3.65,21,44,2,1.5,2,15,0.6,2
26,8/12/25,1.77,1.9,1.77,3.33,3.16,3.11,21,44,2,1.5,2,18,0.6,2
27,8/12/25,3.42,3.4,3.35,8.08,8.2,8.62,21,44,2,1.5,2,3,0.8,2
28,8/12/25,3,2.75,3.02,5.72,7,7.05,21,44,2,1.5,2,5,0.8,2
29,8/12/25,2.77,3.2,3.07,4.88,5.4,6.12,21,44,2,1.5,2,10,0.8,2
30,8/12/25,3.16,3.03,3.16,4.73,6.1,6.53,21,44,2,1.5,2,12,0.8,2
31,8/12/25,2.9,3.07,3.26,4.99,5.25,5.7,21,44,2,1.5,2,15,0.8,2
32,8/12/25,3.61,3.02,2.87,4.87,4.15,4.79,21,44,2,1.5,2,18,0.8,2
33,8/12/25,2.44,3.3,3.18,4.43,3.92,4.33,21,44,2,1.5,2,20,0.8,2
34,8/12/25,2.73,2.88,2.73,4.84,4.55,5.22,21,44,2,1.5,2,22,0.8,2
35,8/12/25,4.83,4.63,4.57,6.76,6.07,7.11,21,44,3,1.5,2,3,0.4,2
36,8/12/25,4.06,3.53,3.9,5.5,5.47,5.43,21,44,3,1.5,2,5,0.4,2
37,8/12/25,4,4.31,4.59,3.7,3.45,3.1,21,44,3,1.5,2,10,0.4,2
38,8/12/25,4.56,4.35,3.76,2.45,2.42,2.57,21,44,3,1.5,2,12,0.4,2
39,8/12/25,3.91,4.24,4.7,2.51,2.39,2.48,21,44,3,1.5,2,15,0.4,2
40,8/12/25,4.29,3.83,3.37,2.88,2.83,2.9,21,44,3,1.5,2,18,0.4,2
41,8/12/25,4.51,4.3,3.68,2.9,2.57,2.6,21,44,3,1.5,2,20,0.4,2
42,8/12/25,4.56,4.7,4.08,2.89,2.94,3,21,44,3,1.5,2,22,0.4,2
43,8/12/25,5.56,5.12,5.07,8.04,7.61,8.18,21,44,3,1.5,2,3,0.6,2
44,8/12/25,4.96,4.81,5.02,6.05,5.4,5.25,21,44,3,1.5,2,5,0.6,2
45,8/12/25,4.6,4.51,5.1,4.04,3.92,3.9,21,44,3,1.5,2,10,0.6,2
46,8/12/25,4.55,4.4,4.8,4.13,3.52,3.5,21,44,3,1.5,2,12,0.6,2
47,8/12/25,4.69,4.8,4.81,3.78,3.52,3.35,21,44,3,1.5,2,15,0.6,2
48,8/12/25,4.55,4.5,4.63,4.23,3.42,3.36,21,44,3,1.5,2,18,0.6,2
49,8/12/25,4.33,4.24,4.39,3.56,3.96,3.6,21,44,3,1.5,2,20,0.6,2
50,8/12/25,4.14,3.89,4.36,3.8,4.11,3.48,21,44,3,1.5,2,22,0.6,2
51,8/12/25,6.49,6.33,5.9,9.1,8.79,7.83,21,44,3,1.5,2,3,0.8,2
52,8/12/25,4.38,4.7,5.01,5.65,5.19,5.66,21,44,3,1.5,2,5,0.8,2
53,8/12/25,3.2,3.46,3.6,5.08,5.36,5.32,21,44,3,1.5,2,10,0.8,2
54,8/12/25,4.85,4.92,5.03,4.63,4.65,4.67,21,44,3,1.5,2,12,0.8,2
55,8/12/25,4.76,4.46,4.37,5.78,5.3,5.32,21,44,3,1.5,2,15,0.8,2
56,8/12/25,4.76,4.75,4.83,4.46,3.9,3.81,21,44,3,1.5,2,18,0.8,2
57,8/12/25,4.68,4.77,4.46,4.89,4.81,4.8,21,44,3,1.5,2,20,0.8,2
58,8/12/25,4.9,4.9,4.8,4.53,4.13,3.75,21,44,3,1.5,2,22,0.8,2
